"","locale","ageg","inccases","persyrs","latitude"
"1","Detroit","<35_years",18,991371,"Northern"
"2","Detroit","35-44_years",25,199104,"Northern"
"3","Detroit","45-54_years",33,209192,"Northern"
"4","Detroit","55-64_years",39,146400,"Northern"
"5","Detroit","65-74_years",18,82961,"Northern"
"6","Detroit",">=75_years",13,44096,"Northern"
"7","Pittsburgh","<35_years",10,578107,"Northern"
"8","Pittsburgh","35-44_years",11,126436,"Northern"
"9","Pittsburgh","45-54_years",29,147028,"Northern"
"10","Pittsburgh","55-64_years",21,114706,"Northern"
"11","Pittsburgh","65-74_years",14,62927,"Northern"
"12","Pittsburgh",">=75_years",19,36832,"Northern"
"13","Minneapolis","<35_years",14,544233,"Northern"
"14","Minneapolis","35-44_years",15,95490,"Northern"
"15","Minneapolis","45-54_years",15,87076,"Northern"
"16","Minneapolis","55-64_years",14,62268,"Northern"
"17","Minneapolis","65-74_years",8,37391,"Northern"
"18","Minneapolis",">=75_years",16,23093,"Northern"
"19","San Francisco","<35_years",47,718136,"Middle"
"20","San Francisco","35-44_years",40,152522,"Middle"
"21","San Francisco","45-54_years",59,160101,"Middle"
"22","San Francisco","55-64_years",29,119975,"Middle"
"23","San Francisco","65-74_years",24,67645,"Middle"
"24","San Francisco",">=75_years",16,37912,"Middle"
"25","Colorado","<35_years",31,651471,"Middle"
"26","Colorado","35-44_years",23,120750,"Middle"
"27","Colorado","45-54_years",36,111201,"Middle"
"28","Colorado","55-64_years",28,80498,"Middle"
"29","Colorado","65-74_years",17,48097,"Middle"
"30","Colorado",">=75_years",18,29347,"Middle"
"31","Iowa","<35_years",19,766551,"Northern"
"32","Iowa","35-44_years",25,143505,"Northern"
"33","Iowa","45-54_years",21,149687,"Northern"
"34","Iowa","55-64_years",30,127366,"Northern"
"35","Iowa","65-74_years",23,87629,"Northern"
"36","Iowa",">=75_years",32,57829,"Northern"
"37","Atlanta","<35_years",21,331153,"Southern"
"38","Atlanta","35-44_years",21,69396,"Southern"
"39","Atlanta","45-54_years",17,59886,"Southern"
"40","Atlanta","55-64_years",21,37229,"Southern"
"41","Atlanta","65-74_years",5,17938,"Southern"
"42","Atlanta",">=75_years",5,8347,"Southern"
"43","Birmingham","<35_years",9,142893,"Southern"
"44","Birmingham","35-44_years",9,30816,"Southern"
"45","Birmingham","45-54_years",10,30675,"Southern"
"46","Birmingham","55-64_years",3,23513,"Southern"
"47","Birmingham","65-74_years",9,13902,"Southern"
"48","Birmingham",">=75_years",4,6787,"Southern"
"49","Dallas","<35_years",34,600200,"Southern"
"50","Dallas","35-44_years",45,120195,"Southern"
"51","Dallas","45-54_years",41,107558,"Southern"
"52","Dallas","55-64_years",39,73342,"Southern"
"53","Dallas","65-74_years",31,38868,"Southern"
"54","Dallas",">=75_years",18,19099,"Southern"
